Unnamed: 0,price,mark,model,year,mileage,engine_capacity,transmission,drive,hand_drive,fuel,Cluster
285,588,mazda,demio,2008,103000,1300,at,2wd,rhd,gasoline,2
286,588,toyota,corolla rumion,2007,121351,1500,at,2wd,rhd,gasoline,2
287,588,toyota,corolla rumion,2009,112598,1500,at,2wd,rhd,gasoline,2
288,590,honda,fit,2009,79797,1290,at,2wd,rhd,gasoline,2
289,590,honda,insight,2009,99902,1290,at,2wd,rhd,gasoline,2
290,590,honda,fit,2011,85000,1300,at,2wd,rhd,gasoline,2
291,590,nissan,tiida,2010,81000,1500,at,2wd,rhd,gasoline,2
292,590,nissan,cube,2010,126000,1500,at,2wd,rhd,gasoline,2
293,590,honda,step wgn,2006,112100,2400,at,2wd,rhd,gasoline,1
294,590,nissan,tiida latio,2012,160200,1500,at,2wd,rhd,gasoline,2
295,590,toyota,vitz,2005,104700,1000,cvt,2wd,rhd,gasoline,2
296,599,honda,insight,2009,151348,1290,at,2wd,rhd,gasoline,2
297,599,honda,fit,2011,178408,1490,at,4wd,rhd,gasoline,2
298,599,daihatsu,esse,2011,105529,660,at,2wd,rhd,gasoline,2
299,599,toyota,voxy,2002,98367,2000,at,2wd,rhd,gasoline,1
300,599,mazda,demio,2004,141014,1300,at,2wd,rhd,gasoline,2
301,599,nissan,march,2006,102824,1200,at,2wd,rhd,gasoline,2
302,600,honda,fit,2009,66000,1300,at,2wd,rhd,gasoline,2
303,600,toyota,ractis,2006,158000,1300,at,2wd,rhd,gasoline,2
304,600,toyota,vitz,2007,180000,1000,at,2wd,rhd,gasoline,2
305,600,mazda,demio,2003,90000,1300,at,2wd,rhd,gasoline,2
306,600,mazda,premacy,2010,83000,2000,at,2wd,rhd,gasoline,2
307,600,toyota,passo,2005,54235,1000,at,2wd,rhd,gasoline,2
308,600,toyota,voxy,2007,158600,2000,at,2wd,rhd,gasoline,2
309,600,honda,fit,2003,59000,1300,at,2wd,rhd,gasoline,2
310,600,nissan,moco,2013,149900,660,at,2wd,rhd,gasoline,2
311,600,toyota,passo,2009,111700,1000,at,2wd,rhd,gasoline,2
312,606,mazda,carol,2004,59000,650,at,2wd,rhd,gasoline,2
313,607,subaru,legacy b4,2003,143700,2000,at,4wd,rhd,gasoline,1
314,607,nissan,sunny,2001,88000,1500,at,2wd,rhd,gasoline,2
315,607,toyota,passo,2007,38282,1000,at,2wd,rhd,gasoline,2
316,607,mazda,bongo truck,1994,160000,1490,mt,2wd,rhd,gasoline,1
317,610,honda,fit,2002,49000,1330,at,2wd,rhd,gasoline,2
318,610,toyota,bb,2007,101000,1290,at,4wd,rhd,gasoline,2
319,610,mazda,demio,2005,88000,1300,at,2wd,rhd,gasoline,2
320,616,honda,fit,2005,108200,1300,at,2wd,rhd,gasoline,2
321,620,nissan,note,2008,86000,1500,at,2wd,rhd,gasoline,2
322,620,mazda,demio,2010,111132,1300,at,2wd,rhd,gasoline,2
323,623,toyota,ractis,2005,20952,1300,at,2wd,rhd,gasoline,2
324,625,mazda,demio,2003,58385,1300,at,2wd,rhd,gasoline,2
325,625,mitsubishi,colt,2004,135369,1300,at,2wd,rhd,gasoline,2
326,625,toyota,porte,2007,90821,1300,at,2wd,rhd,gasoline,2
327,625,toyota,passo,2009,148818,1300,at,2wd,rhd,gasoline,2
328,625,nissan,march,2003,70259,1200,at,2wd,rhd,gasoline,2
329,625,daihatsu,boon,2005,86154,1300,at,2wd,rhd,gasoline,2
330,625,nissan,march,2002,71861,1200,at,2wd,rhd,gasoline,2
331,625,honda,s-mx,1997,240961,2000,at,2wd,rhd,gasoline,1
332,625,nissan,cube,2009,175065,1500,at,2wd,rhd,gasoline,2
333,625,honda,step wgn,2005,156347,2000,at,2wd,rhd,gasoline,1
334,625,mitsubishi,colt,2011,75528,1300,at,2wd,rhd,gasoline,2
335,625,nissan,march,2003,68654,1240,at,2wd,rhd,gasoline,2
336,625,chrysler,pt cruiser,2001,84174,2000,at,2wd,rhd,gasoline,1
337,625,mitsubishi,colt,2009,87154,1300,at,2wd,rhd,gasoline,2
338,625,nissan,march,2010,93741,1400,at,4wd,rhd,gasoline,2
339,625,nissan,cube,2002,70875,1380,at,2wd,rhd,gasoline,2
340,626,toyota,porte,2008,46800,1500,at,2wd,rhd,gasoline,2
341,630,honda,fit,2010,92994,1290,at,2wd,rhd,gasoline,2
